Low,High,Open,Close,Volume,highest_bid_price,highest_bid_quantity,lowest_ask_price,lowest_ask_quantity,Spread,Mid_price,Market_depth
186.0,219.0,188.0,188.0,13904.0,188.0,5.0,328.0,2.0,140.0,258.0,747.0
181.0,217.0,217.0,215.0,14220.0,215.0,10.0,242.0,2.0,27.0,228.5,786.0
184.0,217.0,215.0,212.0,13999.0,215.0,5.0,218.0,1.0,3.0,216.5,672.0
186.0,222.0,214.0,210.0,13909.0,201.0,4.0,210.0,1.0,9.0,205.5,765.0
187.0,222.0,207.0,215.0,6982.0,215.0,5.0,305.0,1.0,90.0,260.0,584.0
189.0,232.0,206.0,232.0,14005.0,232.0,11.0,245.0,2.0,13.0,238.5,738.0
201.0,246.0,232.0,244.0,13986.0,244.0,5.0,252.0,1.0,8.0,248.0,383.0
214.0,252.0,215.0,247.0,14087.0,247.0,5.0,251.0,1.0,4.0,249.0,758.0
216.0,251.0,237.0,249.0,13855.0,249.0,13.0,299.0,1.0,50.0,274.0,469.0
216.0,258.0,249.0,255.0,14047.0,255.0,5.0,280.0,1.0,25.0,267.5,741.0
224.0,263.0,254.0,260.0,14057.0,260.0,17.0,334.0,1.0,74.0,297.0,582.0
228.0,274.0,260.0,244.0,13911.0,243.0,4.0,244.0,1.0,1.0,243.5,655.0
241.0,279.0,244.0,247.0,14047.0,177.0,5.0,247.0,1.0,70.0,212.0,595.0
245.0,282.0,247.0,281.0,7049.0,281.0,11.0,282.0,1.0,1.0,281.5,519.0
247.0,284.0,251.0,283.0,13756.0,283.0,7.0,333.0,1.0,50.0,308.0,707.0
250.0,289.0,283.0,252.0,13828.0,231.0,4.0,252.0,1.0,21.0,241.5,687.0
248.0,288.0,252.0,257.0,14014.0,255.0,5.0,257.0,2.0,2.0,256.0,640.0
254.0,297.0,258.0,293.0,14000.0,293.0,5.0,309.0,1.0,16.0,301.0,719.0
262.0,305.0,294.0,304.0,13982.0,304.0,8.0,380.0,1.0,76.0,342.0,770.0
265.0,305.0,304.0,266.0,14002.0,196.0,5.0,266.0,1.0,70.0,231.0,780.0
261.0,302.0,266.0,261.0,13747.0,258.0,5.0,261.0,1.0,3.0,259.5,592.0
259.0,295.0,261.0,290.0,13945.0,290.0,8.0,303.0,1.0,13.0,296.5,732.0
257.0,292.0,290.0,278.0,7051.0,257.0,5.0,278.0,1.0,21.0,267.5,717.0
255.0,296.0,262.0,258.0,13370.0,246.0,5.0,258.0,1.0,12.0,252.0,674.0
257.0,294.0,257.0,287.0,13980.0,287.0,5.0,304.0,1.0,17.0,295.5,745.0
249.0,288.0,287.0,277.0,14085.0,277.0,5.0,286.0,1.0,9.0,281.5,638.0
245.0,283.0,278.0,275.0,14162.0,275.0,16.0,382.0,1.0,107.0,328.5,500.0
241.0,276.0,275.0,275.0,13933.0,275.0,6.0,291.0,1.0,16.0,283.0,605.0
236.0,275.0,275.0,267.0,13983.0,267.0,8.0,294.0,1.0,27.0,280.5,646.0
232.0,270.0,267.0,247.0,13978.0,250.0,9.0,258.0,1.0,8.0,254.0,625.0
227.0,264.0,252.0,258.0,14044.0,258.0,16.0,268.0,1.0,10.0,263.0,693.0
223.0,259.0,257.0,240.0,6946.0,211.0,5.0,223.0,1.0,12.0,217.0,763.0
221.0,259.0,229.0,229.0,13868.0,228.0,5.0,229.0,1.0,1.0,228.5,733.0
220.0,259.0,229.0,238.0,14031.0,237.0,5.0,238.0,1.0,1.0,237.5,707.0
214.0,252.0,237.0,244.0,13930.0,245.0,11.0,287.0,1.0,42.0,266.0,787.0
213.0,256.0,245.0,254.0,13936.0,254.0,5.0,255.0,1.0,1.0,254.5,723.0
219.0,259.0,246.0,250.0,13976.0,250.0,11.0,286.0,1.0,36.0,268.0,672.0
212.0,251.0,250.0,213.0,14008.0,146.0,9.0,213.0,1.0,67.0,179.5,662.0
211.0,249.0,213.0,217.0,13961.0,205.0,5.0,217.0,1.0,12.0,211.0,648.0
216.0,253.0,247.0,250.0,13993.0,207.0,3.0,221.0,1.0,14.0,214.0,718.0
221.0,261.0,221.0,250.0,6947.0,219.0,4.0,249.0,1.0,30.0,234.0,778.0
224.0,259.0,259.0,256.0,13580.0,256.0,7.0,276.0,1.0,20.0,266.0,734.0
225.0,262.0,256.0,259.0,14112.0,259.0,5.0,261.0,2.0,2.0,260.0,754.0
230.0,265.0,258.0,232.0,14048.0,231.0,5.0,232.0,2.0,1.0,231.5,719.0
230.0,266.0,262.0,258.0,13854.0,258.0,5.0,365.0,1.0,107.0,311.5,595.0
224.0,262.0,242.0,226.0,13879.0,159.0,4.0,225.0,1.0,66.0,192.0,701.0
218.0,256.0,256.0,249.0,14053.0,249.0,5.0,318.0,1.0,69.0,283.5,774.0
216.0,251.0,249.0,220.0,13881.0,203.0,5.0,220.0,1.0,17.0,211.5,750.0
220.0,265.0,220.0,235.0,13752.0,222.0,3.0,235.0,1.0,13.0,228.5,727.0
230.0,265.0,234.0,231.0,7013.0,228.0,5.0,231.0,1.0,3.0,229.5,531.0
228.0,266.0,261.0,260.0,13883.0,260.0,8.0,261.0,1.0,1.0,260.5,739.0
234.0,273.0,259.0,269.0,13847.0,270.0,5.0,312.0,1.0,42.0,291.0,738.0
236.0,279.0,269.0,278.0,13957.0,278.0,8.0,301.0,1.0,23.0,289.5,701.0
239.0,279.0,278.0,271.0,13943.0,273.0,5.0,294.0,1.0,21.0,283.5,740.0
241.0,278.0,273.0,267.0,13874.0,267.0,5.0,271.0,1.0,4.0,269.0,714.0
241.0,280.0,271.0,276.0,13902.0,276.0,5.0,277.0,1.0,1.0,276.5,730.0
242.0,281.0,274.0,250.0,14007.0,249.0,5.0,250.0,1.0,1.0,249.5,781.0
249.0,286.0,280.0,270.0,13913.0,283.0,5.0,364.0,1.0,81.0,323.5,572.0
253.0,290.0,282.0,258.0,6985.0,257.0,5.0,258.0,1.0,1.0,257.5,719.0
253.0,290.0,257.0,278.0,13912.0,285.0,5.0,287.0,1.0,2.0,286.0,693.0
